obligor_id,issuer,rating,rating_score,pd_1y,exposure_usd,recovery_rate,recovery_stressed,sector,factor_sector,seniority,basel_correlation
29,INTEL,AA,2,0.0,216465126.37,0.3026089060737466,0.1966891479754342,Technology,Technology,Senior Unsecured,0.2
30,MERCK &,A-,1,0.0,203664864.51,0.3664632445882896,0.2931798778978207,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
31,BARCLAYS,A-,4,0.0002,194539488.06,0.3837487477969413,0.2686243675010213,Banking,Financials,Senior Unsecured,0.2388059800499001
32,ENERGY TRANSFER,A-,2,0.0,194235816.51,0.4095079466196489,0.2457023713959261,Energy,Energy,Senior Unsecured,0.2
33,PACIFIC GAS AND ELECTRIC,AA-,3,0.0001,189849524.24,0.4722935984881665,0.4014397960439999,Electric,Utilities,Senior Unsecured,0.2394014975031218
34,BRISTOL-MYERS SQUIBB,BBB+,1,0.0,187694581.34,0.3660273629420856,0.2928299226997919,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
35,PHILIP MORRIS INTERNATIONAL,A+,1,0.0,185752130.57,0.3742147748929101,0.2993875373199872,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
36,ELI LILLY AND,AA,1,0.0,175764746.75,0.3703620972267865,0.2962994267770935,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
37,TENET HEALTHCARE,BBB,6,0.0005,171480116.16,0.3833659310095723,0.3066956654364386,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2370371894433999
38,CIGNA,BBB,1,0.0,170865980.65,0.3646906997807465,0.29176160001404,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
39,MITSUBISHI UFJ FINANCIAL,A,1,0.0,170230423.55,0.3944966158965126,0.2761178060146289,Banking,Financials,Senior Unsecured,0.2
40,VENTURE GLOBAL LNG,BBB-,9,0.0022,163363692.15,0.5505108806835813,0.3303075793480344,Energy,Energy,Senior Secured,0.2275000962355834
41,ABBOTT LABORATORIES,A+,1,0.0,161264995.19,0.3688730023358518,0.2951106274124585,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
42,ENTERPRISE PRODUCTS OPERATING,AA-,1,0.0,161102360.43,0.4199174556351098,0.2519348045101452,Energy,Energy,Senior Unsecured,0.2
43,FORD MOTOR CREDIT,BBB+,7,0.0009,154856772.14000002,0.3152051812715124,0.1891276099199596,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2347196978199719
44,SUMITOMO MITSUI FINANCIAL,AA,2,0.0,154247199.57,0.3931034693620597,0.2751500325942287,Banking,Financials,Senior Unsecured,0.2
45,ELEVANCE HEALTH,A,2,0.0,154048112.81,0.381656223215254,0.2862425065909316,Insurance,Financials,Senior Unsecured,0.2
46,GENERAL MOTORS FINANCIAL,A-,3,0.0001,153361185.14,0.3303289205091102,0.1981964064800588,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2394014975031218
47,LOWES,AA,2,0.0,152314749.61,0.3287232888877412,0.1972239318626681,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2
48,SALESFORCE,BBB-,3,0.0001,151068676.56,0.301158198757904,0.1957441972973089,Technology,Technology,Senior Unsecured,0.2394014975031218
49,PNC FINANCIAL SERVICES,A,1,0.0,151045900.02,0.3937690390640038,0.2756025679909216,Banking,Financials,Senior Unsecured,0.2
50,SUNOCO,BBB,7,0.0009,150353298.12,0.5337317516433672,0.3202343513803992,Energy,Energy,Senior Secured,0.2347196978199719
51,MICROSOFT,A-,2,0.0,149587950.83,0.30781176791473,0.2000862763616213,Technology,Technology,Senior Unsecured,0.2
52,BP CAPITAL MARKETS AMERICA,AA,1,0.0,146678220.04,0.4269573192871561,0.2561458158145031,Energy,Energy,Senior Unsecured,0.2
53,MPLX,BBB+,3,0.0001,146598918.9,0.4176652128571325,0.2505797670024359,Energy,Energy,Senior Unsecured,0.2394014975031218
54,WALT DISNEY,AAA,1,0.0,145218419.52,0.3316786045322192,0.2322108107960215,Communications,Communications,Senior Unsecured,0.2
55,VENTURE GLOBAL PLAQUEMINES LNG,BBB+,7,0.0009,143467101.94,0.5752873450776,0.3451685845522837,Energy,Energy,Senior Secured,0.2347196978199719
56,CLOUD SOFTWARE,BB,12,0.011,142691517.7,0.3717348535898011,0.241629547347929,Technology,Technology,Senior Secured,0.1892339772456584
57,NRG ENERGY,BBB,7,0.0009,138778789.9,0.6385105835791698,0.5427369523909791,Electric,Utilities,Senior Secured,0.2347196978199719
58,JOHNSON & JOHNSON,AAA,1,0.0,138487544.42,0.3783696996943258,0.3027113215768796,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
59,MORGAN STANLEY,AA-,3,0.0001,136091454.52,0.3826235312120316,0.2678192979443071,Banking,Financials,Senior Unsecured,0.2394014975031218
60,INTERNATIONAL BUSINESS MACHINES,BBB,2,0.0,136027782.32,0.3101121773124486,0.201560880608246,Technology,Technology,Senior Unsecured,0.2
61,ONEMAIN FINANCE,BBB-,10,0.004,135729566.48,0.3371680139216783,0.2191712764292327,Finance Companies,Financials,Senior Unsecured,0.2182476903693578
62,COCA-COLA,A-,1,0.0,135704897.83,0.3743747175863151,0.299511616597663,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
63,CSC,CCC-,17,0.14,135257057.49,0.2977226558660144,0.2083954340615827,Communications,Communications,Senior Secured,0.1201094258358665
64,PEPSICO,AAA,1,0.0,132544585.85,0.3773746413289125,0.3019134267133025,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
65,RAYTHEON TECHNOLOGIES,A-,2,0.0,129765777.76,0.3818161960693664,0.2672674038868566,Capital Goods,Industrials,Senior Unsecured,0.2
66,GILEAD SCIENCES,BBB+,1,0.0,127503402.69,0.3598865043220675,0.2879149443579998,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
67,CHS/COMMUNITY HEALTH SYSTEMS,BB-,10,0.004,126575878.47,0.4570273596380279,0.3656120359503044,Consumer Non-Cyclical,Consumer Staples,Senior Secured,0.2182476903693578
68,BAT CAPITAL,A-,3,0.0001,126281373.47,0.3678915035724626,0.2943256449983004,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2394014975031218
69,ANHEUSER-BUSCH INBEV WORLDWIDE,BBB+,1,0.0,123964100.57,0.3616979964537729,0.2893639202940332,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
70,SHELL FINANCE US,BBB+,1,0.0,122459234.23,0.4219156459134099,0.2531330794017084,Energy,Energy,Senior Unsecured,0.2
71,CELANESE US,BBB,6,0.0005,117545983.04,0.3854528830712734,0.2505310111748673,Basic Industry,Materials,Senior Unsecured,0.2370371894433999
72,CISCO SYSTEMS,AA-,1,0.0,116571535.65,0.3122771610364815,0.2029658277958012,Technology,Technology,Senior Unsecured,0.2
73,HILTON DOMESTIC OPERATING,A-,6,0.0005,115860433.17,0.4315029759311921,0.2589158711069144,Consumer Cyclical,Consumer Discretionary,Senior Secured,0.2370371894433999
74,NOVARTIS CAPITAL,AAA,1,0.0,115431365.79,0.3763312598793517,0.3010792122098047,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
75,WILLIAMS,AA-,2,0.0,115372210.04,0.4239831569632727,0.2543598222814801,Energy,Energy,Senior Unsecured,0.2
76,EXXON MOBIL,A-,1,0.0,114971386.74,0.4286442761626291,0.2571650429917307,Energy,Energy,Senior Unsecured,0.2
77,BANCO,AA-,2,0.0,114787247.76,0.3907751336592286,0.2735296302088461,Banking,Financials,Senior Unsecured,0.2
78,IRON MOUNTAIN,BBB,6,0.0005,110902399.82,0.4195437131730681,0.2726987637047509,Technology,Technology,Senior Secured,0.2370371894433999
79,NISSAN MOTOR,BBB-,10,0.004,109286750.18,0.4238617582050786,0.2542860589189679,Consumer Cyclical,Consumer Discretionary,Senior Secured,0.2182476903693578
80,UNITED RENTALS (NORTH AMERICA),A-,4,0.0002,109131879.0,0.4262709193917756,0.2984061342010798,Capital Goods,Industrials,Senior Unsecured,0.2388059800499001
81,ALBERTSONS,BBB,7,0.0009,108970192.77,0.4968003910718969,0.3974516657942956,Consumer Non-Cyclical,Consumer Staples,Senior Secured,0.2347196978199719
82,SIRIUS XM RADIO,BBB+,6,0.0005,108149959.19,0.4464322227558762,0.3125085725210896,Communications,Communications,Senior Secured,0.2370371894433999
83,UNITI SERVICES,BB+,5,0.0004,107319577.37,0.4210421407017976,0.2946943061382184,Communications,Communications,Senior Secured,0.2376238407968106
84,LOCKHEED MARTIN,BBB+,1,0.0,107191737.49,0.3820610337748523,0.267442537420008,Capital Goods,Industrials,Senior Unsecured,0.2
85,KINDER MORGAN,BBB+,2,0.0,106526976.4,0.4236138483044563,0.2541410983661693,Energy,Energy,Senior Unsecured,0.2
86,MCDONALDS,BBB+,1,0.0,103772074.2,0.3268863977518048,0.196125274059666,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2
87,ANHEUSER-BUSCH,BBB+,5,0.0004,103325849.5,0.3590313356262897,0.2872336268369707,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2376238407968106
88,ONEOK,A-,3,0.0001,102387359.13,0.4123777664311557,0.2474157523308902,Energy,Energy,Senior Unsecured,0.2394014975031218
89,BURLINGTON NORTHERN,BBB+,7,0.0009,102356422.75,0.3892048363632657,0.2723939878785281,Transportation,Industrials,Senior Unsecured,0.2347196978199719
90,WALMART,AAA,1,0.0,102307898.47,0.3364650110543513,0.2018887076331615,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2
91,DELL INTERNATIONAL,A+,3,0.0001,101750788.22,0.3104389814158629,0.2017802563366127,Technology,Technology,Senior Unsecured,0.2394014975031218
92,UNION PACIFIC,BBB+,1,0.0,101417471.27,0.4028891512729589,0.2819662765329467,Transportation,Industrials,Senior Unsecured,0.2
93,LEVEL 3 FINANCING,BBB-,9,0.0022,100876152.31,0.4248321570906474,0.297370403398012,Communications,Communications,Senior Secured,0.2275000962355834
94,1011778 BC UNLIMITED LIABILITY,BBB+,7,0.0009,100759258.88,0.4482078586849863,0.2689340503368339,Consumer Cyclical,Consumer Discretionary,Senior Secured,0.2347196978199719
95,ALTRIA,A+,2,0.0,100010472.68,0.3566138332715657,0.2852956902537759,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
96,UNITED PARCEL SERVICE,A,1,0.0,99587908.52,0.403250927513464,0.2822271554911654,Transportation,Industrials,Senior Unsecured,0.2
97,ENBRIDGE,A+,2,0.0,99216844.5,0.4246810406079483,0.2547808145472617,Energy,Energy,Senior Unsecured,0.2
98,VODAFONE,BBB,7,0.0009,95515915.02,0.3074049343932046,0.2151894369779969,Communications,Communications,Senior Unsecured,0.2347196978199719
99,NEXTERA ENERGY CAPITAL,AA,2,0.0,95430238.96,0.4914817233939995,0.4177566934119516,Electric,Utilities,Senior Unsecured,0.2
100,ALLIANT,BBB-,9,0.0022,95367735.83,0.5043805192846422,0.3782853894634818,Insurance,Financials,Senior Secured,0.2275000962355834
101,ASURION,BB+,11,0.007,95171592.34,0.4818837993551637,0.3614128495163727,Insurance,Financials,Senior Secured,0.2045625707662456
102,POST,BBB+,8,0.0015,94841451.72,0.4865025582525319,0.3891716515679142,Consumer Non-Cyclical,Consumer Staples,Senior Secured,0.2313292183594263
103,ECHOSTAR,BB,10,0.004,93137741.63,0.2976995658328912,0.208331442803924,Communications,Communications,Senior Unsecured,0.2182476903693578
104,INTERCONTINENTAL EXCHANGE,A-,2,0.0,92269758.66,0.3675266109466704,0.2572689474748432,Brokerage/Asset Managers/Exchanges,Financials,Senior Unsecured,0.2
105,HONEYWELL AEROSPACE,A+,2,0.0,91524353.74,0.3852624630754371,0.2696704329236381,Capital Goods,Industrials,Senior Unsecured,0.2
106,ROGERS,A+,5,0.0004,90539341.97,0.326916430913961,0.228851856129113,Communications,Communications,Senior Unsecured,0.2376238407968106
107,1261229 BC,BB-,13,0.019,90398640.47,0.4446,0.3557,Consumer Non-Cyclical,Consumer Staples,Senior Secured,0.1664089228145401
108,FISERV,A+,5,0.0004,90200233.79,0.3049276676194743,0.1981973116855709,Technology,Technology,Senior Unsecured,0.2376238407968106
109,CONOCOPHILLIPS,AA+,2,0.0,89208287.51,0.4193689596200723,0.251606470201728,Energy,Energy,Senior Unsecured,0.2
110,MIZUHO FINANCIAL,AA-,2,0.0,88843876.78999999,0.3947936368253905,0.2763225556070312,Banking,Financials,Senior Unsecured,0.2
111,DAVITA,BBB+,8,0.0015,88072910.13,0.4889446625095184,0.3911352353961669,Consumer Non-Cyclical,Consumer Staples,Senior Secured,0.2313292183594263
112,LLOYDS BANKING,A,3,0.0001,87523945.16,0.3870177191675508,0.2708904518933478,Banking,Financials,Senior Unsecured,0.2394014975031218
113,UNIVISION,BB-,10,0.004,87421063.78999999,0.4128248296501311,0.2889568810437716,Communications,Communications,Senior Secured,0.2182476903693578
114,TOYOTA MOTOR CREDIT,AA+,1,0.0,87385763.3,0.3433719737685806,0.2060174026097337,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2
115,STANDARD BUILDING SOLUTIONS,BBB,9,0.0022,86233235.01,0.5131481314321157,0.3592124764493629,Capital Goods,Industrials,Senior Secured,0.2275000962355834
116,TARGA RESOURCES,A-,2,0.0,85773691.39,0.4209597448442052,0.2525512550318023,Energy,Energy,Senior Unsecured,0.2
117,AERCAP IRELAND CAPITAL DAC,A,3,0.0001,85687342.58,0.3685971537763144,0.239594526587733,Finance Companies,Financials,Senior Unsecured,0.2394014975031218
118,DIRECTV FINANCING,B+,9,0.0022,84508228.35,0.4075142783582682,0.2852749033142522,Communications,Communications,Senior Secured,0.2275000962355834
119,BHP BILLITON FINANCE (USA),A-,2,0.0,83717872.77,0.4098500018628698,0.2663867288584834,Basic Industry,Materials,Senior Unsecured,0.2
120,THERMO FISHER SCIENTIFIC,AA,1,0.0,83651669.1,0.3763039536503044,0.301059426703872,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
121,MORGAN STANLEY (FXD-FRN) MTN,A,4,0.0002,83187106.22,0.2138454253491401,0.1496917977443981,Banking,Financials,Subordinated,0.2388059800499001
122,US BANCORP MTN,A+,2,0.0,83139451.36,0.3929891547793346,0.2750545411962891,Banking,Financials,Senior Unsecured,0.2
123,DISH DBS,BBB-,10,0.004,82947014.22,0.3665693678528408,0.2565744197870176,Communications,Communications,Senior Secured,0.2182476903693578
124,ROCKET,BBB,9,0.0022,82091702.45,0.491424308445439,0.3194292811537982,Finance Companies,Financials,Senior Secured,0.2275000962355834
125,CLEVELAND-CLIFFS,BB+,10,0.004,81830291.56,0.5184238149005564,0.3370200996141239,Basic Industry,Materials,Senior Secured,0.2182476903693578
126,FLORIDA POWER & LIGHT,AA+,1,0.0,81196818.36,0.4814783894568354,0.4092363281833646,Electric,Utilities,Senior Unsecured,0.2
127,GENERAL MOTORS,BBB-,3,0.0001,80798284.15,0.3153871484750954,0.1892051705885142,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2394014975031218
128,RIO TINTO FINANCE (USA),AA+,2,0.0,80443319.7,0.4046192716593346,0.2629873317620804,Basic Industry,Materials,Senior Unsecured,0.2
129,TRUIST FINANCIAL,AA-,2,0.0,80036794.69,0.3929252218052062,0.2750184837221271,Banking,Financials,Senior Unsecured,0.2
130,JANE STREET,BBB-,8,0.0015,80000328.24,0.4808104753481697,0.3365316853797948,Brokerage/Asset Managers/Exchanges,Financials,Senior Secured,0.2313292183594263
131,DUKE ENERGY,AA-,2,0.0,79805582.57,0.4783135233779673,0.406561976909443,Electric,Utilities,Senior Unsecured,0.2
132,HUB INTERNATIONAL,BBB-,10,0.004,79299823.83,0.5044,0.3782999999999999,Insurance,Financials,Senior Secured,0.2182476903693578
133,METLIFE,AA-,1,0.0,78790679.84,0.3818095000784803,0.2863567005158868,Insurance,Financials,Senior Unsecured,0.2
134,ALLIED UNIVERSAL HOLDCO,BB+,9,0.0022,78397069.95,0.4264433044105368,0.2558386137045674,Consumer Cyclical,Consumer Discretionary,Senior Secured,0.2275000962355834
135,ALTICE FRANCE,BB+,11,0.007,78108178.03999999,0.4107629301795708,0.2875040910729455,Communications,Communications,Senior Secured,0.2045625707662456
136,CAESARS ENTERTAINMENT,BBB-,9,0.0022,78051290.45,0.429714234712605,0.2578088114451027,Consumer Cyclical,Consumer Discretionary,Senior Secured,0.2275000962355834
137,PACIFICORP,BBB-,7,0.0009,76640863.67,0.4525974427658742,0.3846969452462982,Electric,Utilities,Senior Unsecured,0.2347196978199719
138,QUIKRETE,BBB,9,0.0022,76429423.03,0.5157115999383726,0.3610036179056577,Capital Goods,Industrials,Senior Secured,0.2275000962355834
139,NEPTUNE BIDCO US,BB-,13,0.019,75991210.36,0.3702252458927672,0.2406838949181858,Technology,Technology,Senior Secured,0.1664089228145401
140,ING GROEP,A+,2,0.0,75626355.01,0.3691182643429372,0.2583626292699333,Banking,Financials,Senior Unsecured,0.2
141,VISTRA OPERATIONS,BBB-,6,0.0005,74418082.05,0.6556369495140059,0.5572831317737111,Electric,Utilities,Senior Secured,0.2370371894433999
142,OCCIDENTAL PETROLEUM,A,4,0.0002,74258997.67,0.4192421064097026,0.2515216247830483,Energy,Energy,Senior Unsecured,0.2388059800499001
143,BERKSHIRE HATHAWAY FINANCE,BBB+,1,0.0,71581601.15,0.3790577742359567,0.2842858849351961,Insurance,Financials,Senior Unsecured,0.2
144,TIME WARNER CABLE,BBB-,9,0.0022,71219740.54,0.3063965393058142,0.2144241290796761,Communications,Communications,Senior Unsecured,0.2275000962355834
145,DIAMONDBACK ENERGY,A,2,0.0,70979098.6,0.4262323876435223,0.2557117922963873,Energy,Energy,Senior Unsecured,0.2
146,WESCO DISTRIBUTION,BBB-,7,0.0009,70938335.08,0.5179574574790823,0.3625728388796152,Capital Goods,Industrials,Senior Secured,0.2347196978199719
147,BLOCK,BBB-,7,0.0009,70199754.16,0.3423066324175572,0.2225008979434009,Technology,Technology,Senior Unsecured,0.2347196978199719
148,HILCORP ENERGY I,BB+,9,0.0022,69206489.31,0.551883302220839,0.3311209659116141,Energy,Energy,Senior Secured,0.2275000962355834
149,CLEAR CHANNEL OUTDOOR,BBB,9,0.0022,69003724.5,0.4281111277028822,0.299669243937608,Communications,Communications,Senior Secured,0.2275000962355834
150,SOUTHERN CALIFORNIA EDISON,BBB,4,0.0002,68802070.17,0.4740579893668917,0.4029399936483335,Electric,Utilities,Senior Unsecured,0.2388059800499001
151,HERC,BBB-,9,0.0022,68344251.98,0.5089753583563912,0.3562968850054272,Capital Goods,Industrials,Senior Secured,0.2275000962355834
152,AMERICAN TOWER,AA-,2,0.0,68228741.77,0.3342246899046839,0.2339891105922412,Communications,Communications,Senior Unsecured,0.2
153,GLOBAL PAYMENTS,A-,5,0.0004,66960262.17,0.3013249894039505,0.1958633020989857,Technology,Technology,Senior Unsecured,0.2376238407968106
154,HEWLETT PACKARD ENTERPRISE,A-,3,0.0001,66827359.88,0.3041643765441987,0.1977027291616237,Technology,Technology,Senior Unsecured,0.2394014975031218
155,NORTHROP GRUMMAN,BBB+,2,0.0,66533375.8,0.3812454341414313,0.2668668815945605,Capital Goods,Industrials,Senior Unsecured,0.2
156,PENNYMAC FINANCIAL SERVICES,BB+,10,0.004,66062717.29,0.4676661799870236,0.3039566653225535,Finance Companies,Financials,Senior Secured,0.2182476903693578
157,TORONTO-DOMINION BANK/THE MTN,AA-,2,0.0,65042238.93,0.4017276448761386,0.2811951018048542,Banking,Financials,Senior Unsecured,0.2
158,VISA,A-,1,0.0,64971836.41,0.3141236247724985,0.2041719219208075,Technology,Technology,Senior Unsecured,0.2
159,CHENIERE ENERGY PARTNERS,A+,3,0.0001,64908332.22,0.4273319226996155,0.2563607618236382,Energy,Energy,Senior Unsecured,0.2394014975031218
160,KRAFT HEINZ FOODS,BBB,9,0.0022,64596157.29,0.3467929576400349,0.2774343661120279,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2275000962355834
161,MPT OPERATING PARTNERSHIP,BB,12,0.011,64397070.22,0.4275384699914691,0.2779295367151408,Reits,Real Estate,Senior Secured,0.1892339772456584
162,WARNERMEDIA,BBB-,5,0.0004,64360091.04,0.3168635338426333,0.2217954003591477,Communications,Communications,Senior Unsecured,0.2376238407968106
163,CROWN CASTLE,A-,4,0.0002,63148668.1,0.3269439152112062,0.2289170837785255,Communications,Communications,Senior Unsecured,0.2388059800499001
164,GRAY MEDIA,BB,10,0.004,63101148.67,0.399862209157531,0.2798973385646293,Communications,Communications,Senior Secured,0.2182476903693578
165,PG&E,BB+,8,0.0015,62306390.7,0.4500610905277811,0.3825457737811475,Electric,Utilities,Senior Unsecured,0.2313292183594263
166,TEVA PHARMACEUTICAL FINANCE NETHER,A-,6,0.0005,61761628.73,0.364270033316963,0.2914224211136182,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2370371894433999
167,MARSH & MCLENNAN,A+,2,0.0,61409486.19,0.3879491685158813,0.2909563746899997,Insurance,Financials,Senior Unsecured,0.2
168,BERKSHIRE HATHAWAY ENERGY,A,2,0.0,61318692.45,0.4747960763726788,0.4035555575649428,Electric,Utilities,Senior Unsecured,0.2
169,ORGANON &,BBB+,8,0.0015,61298590.94,0.4607239830869757,0.368593304754796,Consumer Non-Cyclical,Consumer Staples,Senior Secured,0.2313292183594263
170,VENTURE GLOBAL CALCASIEU PASS,BBB+,7,0.0009,61257894.93,0.5805972233161097,0.348348337218368,Energy,Energy,Senior Secured,0.2347196978199719
171,MASTERCARD,AA+,1,0.0,61116953.06,0.3185647316388157,0.2070450151368524,Technology,Technology,Senior Unsecured,0.2
172,LIFEPOINT HEALTH,BB-,10,0.004,60710753.52,0.4558547313298773,0.3646759811283265,Consumer Non-Cyclical,Consumer Staples,Senior Secured,0.2182476903693578
173,FREEDOM MORTGAGE,BB-,13,0.019,60414139.68,0.443178316830051,0.2880809320921542,Finance Companies,Financials,Senior Secured,0.1664089228145401
174,WASTE MANAGEMENT,A+,1,0.0,60286593.34,0.3981452216313604,0.2786886642401878,Capital Goods,Industrials,Senior Unsecured,0.2
175,QUALCOMM,BBB+,2,0.0,60130268.66,0.3048513884594375,0.1981439755879514,Technology,Technology,Senior Unsecured,0.2
176,GFL ENVIRONMENTAL,BBB+,7,0.0009,59983785.42,0.5280137872333033,0.3695993769771158,Capital Goods,Industrials,Senior Secured,0.2347196978199719
177,PHILLIPS 66,BBB+,3,0.0001,59828248.28,0.4222871245144534,0.2533435582052946,Energy,Energy,Senior Unsecured,0.2394014975031218
178,NEXSTAR MEDIA,AA+,2,0.0,59727085.77,0.4576373825037873,0.3203268839033296,Communications,Communications,Senior Secured,0.2
179,ACRISURE,BB+,10,0.004,59655106.18,0.4856099328664038,0.3642074496498029,Insurance,Financials,Senior Secured,0.2182476903693578
180,AMPHENOL,AA-,2,0.0,59509755.7,0.3939418721481997,0.2757391653462123,Capital Goods,Industrials,Senior Unsecured,0.2
181,ICAHN,BB+,11,0.007,59507091.32,0.3375981462711829,0.2194424176338316,Financial Other,Financials,Senior Unsecured,0.2045625707662456
182,NCL,BBB-,9,0.0022,58921842.04,0.4306500414133353,0.2583729572411039,Consumer Cyclical,Consumer Discretionary,Senior Secured,0.2275000962355834
183,ZF NORTH AMERICA CAPITAL,BB,9,0.0022,58813033.04,0.419765897852239,0.2518178114894242,Consumer Cyclical,Consumer Discretionary,Senior Secured,0.2275000962355834
184,JOHN DEERE CAPITAL,AAA,1,0.0,58137095.7,0.4043706702217667,0.2830523628585388,Capital Goods,Industrials,Senior Unsecured,0.2
185,MARRIOTT INTERNATIONAL,A-,2,0.0,57426714.77,0.3298078555665217,0.1978824272393773,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2
